DISCIPLINA;ÁREA DO CONHECIMENTO;ÁREA FUNCIONAL DEFINIDA
Cálculo: Derivadas;Matemática, Computação e Tecnologias de Informação e Comunicacão;Matemática Aplicada e Computacional
Culturas Corporais;Saúde e Bem-Estar Social;Ciências Médicas e da Saúde
Criminologia;Direito;Criminologia
Crimes contra o Patrimônio;Direito;Criminologia
Crimes Contra a Pessoa;Direito;Criminologia
Crimes contra a Administração Pública;Direito;Criminologia
Cosmetologia;Saúde e Bem-Estar Social;Ciências Farmacêuticas
Conversão de Energia;Engenharia, Produção e Construção;Engenharia Elétrica e de Energia
Controle e Servomecanismos;Engenharia, Produção e Construção;Engenharia de Controle e Automação
Controle e Processamento Digital de Sinais;Engenharia, Produção e Construção;Engenharia de Controle e Automação
Controle de Qualidade;Administração e Negócios;Gestão da Produção e da Qualidade
Controladoria;Administração e Negócios;Finanças, Bancos e Seguros
Contratos Públicos e Responsabilidade do Estado;Administração e Negócios;Administração  e Gestão Pública
Contratos;Administração e Negócios;Ciências da Administração
Conteúdos de Matemática e Estatística para a Educação;Educação;Interdisciplinar com foco em Educação
Contabilidade Social;Administração e Negócios;Contabilidade e Tributação
Contabilidade Internacional;Administração e Negócios;Contabilidade e Tributação
Contabilidade Integral;Administração e Negócios;Contabilidade e Tributação
Contabilidade Geral e Controladoria;Administração e Negócios;Contabilidade e Tributação
Contabilidade Geral;Administração e Negócios;Contabilidade e Tributação
Contabilidade e Planejamento Tributário;Administração e Negócios;Contabilidade e Tributação
Contabilidade do Agronegócio;Administração e Negócios;Contabilidade e Tributação
Contabilidade de Custos;Administração e Negócios;Contabilidade e Tributação
Contabilidade Avançada;Administração e Negócios;Contabilidade e Tributação
Contabilidade Aplicada;Administração e Negócios;Contabilidade e Tributação
Conforto Ambiental - Térmica;Engenharia, Produção e Construção;Tecnologias para Arquitetura e Urbanismo
Conforto Ambiental - Acústico;Engenharia, Produção e Construção;Tecnologias para Arquitetura e Urbanismo
Condicionamento Físico;Saúde e Bem-Estar Social;Especialidades da Educação Física
Comércio Exterior e Marketing Internacional;Ciências Sociais, Jornalismo e Informação;Ciências Econômicas
Comércio Exterior e Finanças Internacionais;Administração e Negócios;Finanças, Bancos e Seguros
Comércio e Logística Internacional;Administração e Negócios;Logística
Comunicação Empresarial;Administração e Negócios;Gestão de Pessoas e Departamento de Pessoal
Computação Gráfica Aplicada a Arquitetura e Urbanismo;Engenharia, Produção e Construção;Tecnologias para Arquitetura e Urbanismo
Comportamento do Consumidor;Administração e Negócios;Interdisciplinar com foco em Administração e Negócios
Compiladores;Matemática, Computação e Tecnologias de Informação e Comunicacão;Ciências e Engenharia da Computação
Ciências Atuariais;Administração e Negócios;Interdisciplinar com foco em Administração e Negócios
Ciência Política e Teoria Geral do Estado;Ciências Sociais, Jornalismo e Informação;Ciências Políticas e Direitos Humanos
Ciência e Tecnologia dos Materiais;Engenharia, Produção e Construção;Engenharia e Ciência de Materiais
Ciência de Dados e Big Data;Matemática, Computação e Tecnologias de Informação e Comunicacão;Ciências e Engenharia da Computação
Citologia Oncótica;Saúde e Bem-Estar Social;Ciências Médicas e da Saúde
Circuitos Lógicos;Engenharia, Produção e Construção;Engenharia Eletrônica e Mecatrônica
Circuitos Elétricos;Engenharia, Produção e Construção;Engenharia Elétrica e de Energia
Cinesiologia;Saúde e Bem-Estar Social;Ciências Médicas e da Saúde
Cineantropometria;Saúde e Bem-Estar Social;Ciências Médicas e da Saúde
Cenários Mundiais e Globalização;Ciências Sociais, Jornalismo e Informação;Ciências Políticas e Direitos Humanos
Cenografia;Engenharia, Produção e Construção;Tecnologias para Arquitetura e Urbanismo
Brinquedoteca e Ludicidade na Educação;Educação;Ciências da Educação, Didática e Pedagogia
Bioquímica Metabólica;Ciências Naturais;Ciências Moleculares, Bioquímica e Biotecnologia
Bioquímica Estrutural;Ciências Naturais;Ciências Moleculares, Bioquímica e Biotecnologia
Bioquímica e Biofisica;Ciências Naturais;Ciências Moleculares, Bioquímica e Biotecnologia
Biomedicina: Histórico e Perspectivas;Saúde e Bem-Estar Social;Ciências Médicas e da Saúde
Biologia Celular e Genética;Ciências Naturais;Ciências Biológicas
Basquetebol;Saúde e Bem-Estar Social;Especialidades da Educação Física
Banco de Dados II;Matemática, Computação e Tecnologias de Informação e Comunicacão;Banco de Dados
Banco de Dados I;Matemática, Computação e Tecnologias de Informação e Comunicacão;Banco de Dados
Banco de Dados;Matemática, Computação e Tecnologias de Informação e Comunicacão;Banco de Dados
Ações Educativas na Prática de Enfermagem;Saúde e Bem-Estar Social;Especialidades da Educação Física
Avaliação Psicológica;Psicologia e Desenvolvimento Pessoal;Metodologias e Técnicas em Psicologia
Automação Industrial: Processos Discretos;Engenharia, Produção e Construção;Engenharia de Controle e Automação
Automação Industrial: Processos Contínuos;Engenharia, Produção e Construção;Engenharia de Controle e Automação
Automação Industrial;Engenharia, Produção e Construção;Engenharia de Controle e Automação
Auditoria Contábil;Administração e Negócios;Contabilidade e Tributação
Atletismo;Saúde e Bem-Estar Social;Especialidades da Educação Física
Atividades Físicas Alternativas;Saúde e Bem-Estar Social;Especialidades da Educação Física
Atividades Complementares;Administração e Negócios;Interdisciplinar com foco em Administração e Negócios
Arte e Educação;Educação;Interdisciplinar com foco em Educação
Arquitetura Brasileira;Engenharia, Produção e Construção;Arquitetura e urbanismo
Análises e Tecnologia de Alimentos;Saúde e Bem-Estar Social;Ciências da Nutrição
Análises Clínicas - Módulo Parasitologia e Microbiologia;Saúde e Bem-Estar Social;Análises Clínicas e Toxicológicas
Análises Clínicas - Módulo Hematologia;Saúde e Bem-Estar Social;Análises Clínicas e Toxicológicas
Análises Clínicas - Módulo Bioquímica, Imunologia e Patologia;Saúde e Bem-Estar Social;Análises Clínicas e Toxicológicas
Análise experimental: Behaviorismo;Psicologia e Desenvolvimento Pessoal;Ciências Cognitivas
Análise de Demonstrações Financeiras e Contábeis;Administração e Negócios;Finanças, Bancos e Seguros
Análise de Decisão;Administração e Negócios;Ciências da Administração
Análise de Dados na Pesquisa em Psicologia;Psicologia e Desenvolvimento Pessoal;Ciências da Psicologia
Antropologia Social;Ciências Sociais, Jornalismo e Informação;Antropologia
Antropologia e Sociologia Urbana;Ciências Sociais, Jornalismo e Informação;Antropologia
Antropologia e Filosofia;Ciências Sociais, Jornalismo e Informação;Antropologia
Anatomia Radiológica;Saúde e Bem-Estar Social;Ciências Médicas e da Saúde
Anatomia Humana;Saúde e Bem-Estar Social;Ciências Médicas e da Saúde
Anatomia Funcional;Saúde e Bem-Estar Social;Ciências Médicas e da Saúde
Algoritmos e Lógica de Programação;Matemática, Computação e Tecnologias de Informação e Comunicacão;Linguagens de Programação
Algoritmos e Estruturas de Dados;Matemática, Computação e Tecnologias de Informação e Comunicacão;Linguagens de Programação
Administração Pública e do Terceiro Setor;Administração e Negócios;Administração  e Gestão Pública
Administração Financeira e Orçamentária;Administração e Negócios;Finanças, Bancos e Seguros
Administração e Gestão em Saúde;Administração e Negócios;Gestão da Saúde, Hospitalar e de Cooperativas
Administração de Redes de Computadores;Matemática, Computação e Tecnologias de Informação e Comunicacão;Redes de Computadores
Administração de Produção, Materiais e Logística;Administração e Negócios;Logística
Administração de Cargos, Salários e Benefícios;Administração e Negócios;Gestão de Pessoas e Departamento de Pessoal
Acompanhamento Terapêutico;Psicologia e Desenvolvimento Pessoal;Teorias e Abordagens Psicoterapêuticas
Acionamentos Elétricos;Engenharia, Produção e Construção;Engenharia Elétrica e de Energia
Abordagem Sistêmica;Psicologia e Desenvolvimento Pessoal;Teorias e Abordagens Psicoterapêuticas
