nome_blox,nome_curso,area_conhecimento,area_funcional,Record Count
Tecnologias Digitais e a escola do futuro,Pós-Graduação em Controladoria e Finanças,Técnicas,Inovação em Educação,2
Mãos na massa! – Ferramentas para Criatividade e Inovação,Pós-Graduação em Liderança para Transformação Digital 4.0,Inovação,Criatividade e Inovação,2
Captação e monetização para inovação,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Estratégicas,Finanças,2
Planejamento Estratégico: diminuir riscos e promover o crescimento,Pós-Graduação em Liderança para Transformação Digital 4.0,Estratégicas,Gestão Estratégica,2
O ciclo de vida de um projeto: do nascimento ao encerramento,Pós-Graduação em Controladoria e Finanças,Técnicas,Gestão de Projetos,2
Um olhar para o futuro com as Tendências e os Cenários Econômicos,Pós-Graduação em Controladoria e Finanças,Estratégicas,Economia,2
Layout industrial inteligente,Pós-Graduação em Gestão Educacional e Novas Tecnologias,Técnicas,Gestão Estratégica,2
Empreendedorismo: explorando o Universo,Pós-Graduação em Gestão Empresarial,Estratégicas,Empreendedorismo,2
Gestão Financeira na Educação,Pós-Graduação em Controladoria e Finanças,Técnicas,Finanças,2
Captação e monetização para inovação,Pós-Graduação em Gestão Empresarial,Estratégicas,Finanças,2
Uma caixa de ferramentas para o gerenciamento de projetos,Pós-Graduação em Liderança para Transformação Digital 4.0,Inovação,Gestão de Projetos,2
Business Intelligence e Analytics,Extensão em Negócios e Inovação,Estratégicas,Database e Redes,2
Planejamento Estratégico: diminuir riscos e promover o crescimento,Pós-Graduação em Controladoria e Finanças,Estratégicas,Gestão Estratégica,2
Gestão por competências como modelo de gestão estratégica,Pós-Graduação em Liderança para Transformação Digital 4.0,Técnicas,Gestão de Pessoas,2
